time [ms],led_0,led_1,led_2,led_3
13537,0,1,3,7
13583,0,1,3,7
13630,0,3,3,7
13676,0,3,3,7
13722,0,3,2,6
13769,0,2,2,6
13815,0,2,3,7
13862,0,1,3,7
13908,0,3,3,7
13955,0,2,2,7
14001,0,4,3,7
14048,0,5,2,8
14094,0,5,3,7
14140,0,6,3,8
14187,0,6,3,7
14233,0,5,3,7
14280,0,7,2,8
14326,0,7,2,8
14373,0,7,2,8
14419,0,7,2,8
14466,0,7,2,8
14512,0,8,2,9
14558,0,7,2,8
14605,0,7,2,8
14651,0,7,2,8
14698,0,7,3,8
14744,0,8,2,8
14791,0,8,2,9
14837,0,8,2,9
14883,0,8,2,9
14930,0,7,3,8
14976,0,6,3,8
15023,0,7,3,8
15069,0,6,3,8
15116,0,6,3,8
15162,0,7,3,8
15209,0,8,3,8
15255,0,8,2,9
15301,0,9,1,9
15348,0,9,2,9
15394,0,9,2,9
15441,0,8,3,9
15487,0,6,2,8
15534,0,7,2,8
15580,0,8,3,8
15627,0,7,2,8
15673,0,7,2,8
15719,0,7,3,8
15766,0,6,3,8
15812,0,7,2,8
15859,0,7,3,8
15905,0,7,2,8
15952,0,7,2,8
15998,0,7,2,8
16044,0,7,2,8
16091,0,7,3,8
16137,0,7,3,8
16184,0,7,3,8
16230,0,7,2,8
16277,0,7,2,8
16323,0,7,3,8
16370,0,6,2,8
16416,0,6,3,8
16462,0,5,3,7
16509,0,5,2,7
16555,0,5,3,7
16602,0,5,2,8
16648,0,5,3,7
16695,0,4,3,7
16741,0,4,3,7
16788,0,3,2,6
16834,0,3,1,5
16880,0,1,2,5
16927,0,2,2,5
16973,0,2,3,6
17020,0,2,3,6
17066,0,0,1,5
17113,0,0,0,0
17159,0,0,0,0
17205,0,0,0,0
17252,0,0,0,0
17298,0,0,0,0
17345,0,0,0,0
17391,0,0,0,0
17438,0,0,0,0
17484,0,0,0,0
17531,0,0,0,0
17577,0,0,0,0
17623,0,0,0,0
17670,0,0,0,0
17716,0,0,0,0
17763,0,0,0,0
17809,0,0,0,0
17856,0,0,0,0
17902,0,0,0,0
17949,0,0,0,0
17995,0,0,0,0
18041,0,0,0,0
18088,0,0,0,0
18134,0,0,0,0
18181,0,0,0,0
18227,0,0,0,0
18274,0,0,0,0
18320,0,0,0,0
18366,0,0,0,0
18413,0,0,0,0
18459,0,0,0,0
18506,0,0,0,0
18552,0,0,0,0
18599,0,0,0,0
18645,0,0,0,0
18692,0,0,0,0
18738,0,0,0,0
18784,0,0,0,0
18831,0,0,0,0
18877,0,0,0,0
18924,0,0,0,0
18970,0,0,0,0
19017,0,0,0,0
19063,0,0,0,0
19110,0,0,0,0
19156,0,0,0,0
19202,0,0,0,0
19249,0,0,0,0
19295,0,0,0,0
19342,0,0,0,0
19388,0,0,0,0
19435,0,0,0,0
19481,0,0,0,0
19527,0,0,0,0
19574,0,0,0,0
19620,0,0,0,0
19667,0,0,0,0
19713,0,0,0,0
19760,0,0,0,0
19806,0,1,2,5
19853,0,1,1,4
19899,0,1,1,4
19945,0,2,1,5
19992,0,3,3,6
20038,0,3,3,6
20085,0,3,2,6
20131,0,5,2,7
20178,0,5,1,7
20224,0,5,2,7
20271,0,5,2,8
20317,0,6,2,8
20363,0,6,2,8
20410,0,6,2,7
20456,0,6,2,7
20503,0,6,2,7
20549,0,5,2,8
20596,0,5,2,7
20642,0,5,2,7
20688,0,5,2,8
20735,0,6,2,8
20781,0,7,2,8
20828,0,7,2,8
20874,0,7,2,8
20921,0,6,2,8
20967,0,6,2,8
21014,0,6,3,8
21060,0,6,3,8
21106,0,6,2,8
21153,0,6,2,8
21199,0,6,2,8
21246,0,6,2,8
21292,0,6,2,8
21339,0,6,2,9
21385,0,7,3,8
21432,0,7,3,9
21478,0,7,2,8
21524,0,7,2,9
21571,0,7,3,9
21617,0,6,3,9
21664,0,7,2,8
21710,0,7,2,8
21757,0,7,3,9
21803,0,7,2,9
21849,0,7,2,9
21896,0,7,3,9
21942,0,7,2,9
21989,0,7,2,9
22035,0,7,2,9
22082,0,7,2,8
22128,0,7,2,9
22175,0,7,2,9
22221,0,6,3,9
22267,0,6,2,9
22314,0,6,1,9
22360,0,6,2,9
22407,0,6,3,9
22453,0,6,2,9
22500,0,6,2,9
22546,0,7,3,9
22593,0,7,3,9
22639,0,7,3,9
22685,0,7,3,9
22732,0,7,3,9
22778,0,7,3,9
22825,0,7,3,8
22871,0,7,2,8
22918,0,7,2,8
22964,0,7,2,9
23010,0,7,2,9
23057,0,7,2,9
23103,0,6,2,9
23150,0,6,3,8
23196,0,6,2,9
23243,0,6,2,8
23289,0,7,3,8
23336,0,7,3,9
23382,0,7,3,8
23428,0,7,2,8
23475,0,7,3,9
23521,0,7,2,9
23568,0,7,3,9
23614,0,7,3,9
23661,0,6,3,8
23707,0,6,3,8
23754,0,6,2,9
23800,0,6,3,9
23846,0,6,1,9
23893,0,7,1,9
23939,0,7,2,9
23986,0,7,4,9
24032,0,6,3,9
24079,0,7,3,9
24125,0,6,3,9
24171,0,7,2,9
24218,0,7,2,9
24264,0,7,3,9
24311,0,7,3,9
24357,0,8,2,9
24404,0,7,3,9
24450,0,8,3,9
24497,0,7,2,9
24543,0,8,2,9
24589,0,7,2,9
24636,0,7,2,9
24682,0,7,3,8
24729,0,7,2,9
24775,0,7,3,9
24822,0,7,2,9
24868,0,7,2,9
24915,0,7,2,8
24961,0,7,4,9
25007,0,8,2,9
25054,0,8,3,9
25100,0,8,3,9
25147,0,9,3,9
25193,0,9,3,9
25240,0,8,3,9
25286,0,8,3,9
25332,0,8,2,9
25379,0,8,3,9
25425,0,9,3,9
25472,0,9,3,9
25518,0,9,2,9
25565,0,8,2,9
25611,0,8,3,9
25658,0,9,3,9
25704,0,10,3,9
25750,0,9,3,9
25797,0,8,3,9
25843,0,9,2,9
25890,0,9,3,9
25936,0,8,2,9
25983,0,8,3,9
26029,0,8,3,9
26075,0,8,3,9
26122,0,8,3,9
26168,0,9,3,9
26215,0,8,3,9
26261,0,8,3,9
26308,0,9,3,9
26354,0,8,3,9
26401,0,9,4,9
26447,0,9,3,9
26493,0,8,3,9
26540,0,9,3,9
26586,0,9,3,9
26633,0,9,3,9
26679,0,8,3,9
26726,0,8,3,9
26772,0,9,3,9
26819,0,8,3,8
26865,0,9,3,9
26911,0,8,2,9
26958,0,8,3,9
27004,0,9,3,9
27051,0,8,3,9
27097,0,7,3,9
27144,0,8,2,9
27190,0,9,2,9
27236,0,9,3,9
27283,0,9,3,9
27329,0,8,3,9
27376,0,8,3,9
27422,0,8,3,9
27469,0,8,3,9
27515,0,9,3,9
27562,0,9,3,9
27608,0,9,3,9
27654,0,9,2,9
27701,0,9,2,9
27747,0,9,2,9
27794,0,9,3,9
27840,0,9,3,9
27887,0,8,3,9
27933,0,8,2,9
27980,0,7,3,9
28026,0,8,3,8
28072,0,9,3,9
28119,0,7,3,9
28165,0,8,3,9
28212,0,8,3,9
28258,0,7,3,9
28305,0,8,3,9
28351,0,7,3,8
28397,0,8,2,9
28444,0,7,3,9
28490,0,7,2,9
28537,0,8,2,9
28583,0,8,3,9
28630,0,9,4,9
28676,0,9,2,9
28723,0,10,4,9
28769,0,10,3,9
28815,0,9,3,9
28862,0,10,3,9
28908,0,9,4,9
28955,0,10,2,9
29001,0,9,3,9
29048,0,10,2,9
29094,0,11,3,9
29141,0,10,2,9
29187,0,10,2,10
29233,0,10,3,9
29280,0,10,2,9
29326,0,10,2,9
29373,0,10,2,9
29419,0,10,2,9
29466,0,10,2,9
29512,0,10,2,9
29558,0,10,3,10
29605,0,10,2,9
29651,0,9,2,9
29698,0,9,3,9
29744,0,9,3,9
29791,0,8,4,8
29837,0,9,3,9
29884,0,9,3,9
29930,0,10,3,9
29976,0,9,3,9
30023,0,8,3,9
30069,0,9,3,9
30116,0,9,2,9
30162,0,9,3,9
30209,0,7,3,9
30255,0,9,3,9
30302,0,9,4,9
30348,0,9,3,9
30394,0,9,3,9
30441,0,9,2,9
30487,0,10,2,9
30534,0,9,3,9
30580,0,10,4,9
30627,0,10,3,9
30673,0,10,3,9
30719,0,9,3,9
30766,0,9,3,9
30812,0,9,2,9
30859,0,8,3,9
30905,0,8,3,9
30952,0,7,3,9
30998,0,8,3,9
31045,0,8,3,9
31091,0,9,2,9
31137,0,9,3,9
31184,0,9,2,9
31230,0,9,4,8
31277,0,9,3,9
31323,0,9,3,9
31370,0,9,3,8
31416,0,9,3,9
31463,0,10,2,9
31509,0,10,3,9
31555,0,10,3,9
31602,0,10,2,9
31648,0,10,2,9
31695,0,10,2,9
31741,0,10,3,9
31788,0,10,3,9
31834,0,9,3,9
31880,0,9,3,9
31927,0,9,3,9
31973,0,8,3,9
32020,0,8,3,9
32066,0,9,3,9
32113,0,9,3,9
32159,0,9,3,9
32206,0,9,2,9
32252,0,9,3,9
32298,0,8,3,9
32345,0,8,3,9
32391,0,9,3,9
32438,0,8,2,9
32484,0,8,2,8
32531,0,7,2,9
32577,0,7,3,9
32624,0,8,2,9
32670,0,8,2,9
32716,0,9,2,9
32763,0,8,2,9
32809,0,7,2,9
32856,0,6,3,8
32902,0,6,2,8
32949,0,7,3,9
32995,0,7,3,9
33041,0,7,3,8
33088,0,7,3,8
33134,0,8,3,9
33181,0,7,3,8
33227,0,8,3,9
33274,0,8,3,9
33320,0,9,3,9
33367,0,9,3,9
33413,0,9,3,9
33459,0,9,3,9
33506,0,8,4,8
33552,0,9,3,9
33599,0,9,2,8
33645,0,9,2,9
33692,0,9,2,9
33738,0,9,2,9
33785,0,9,2,9
33831,0,9,3,9
33877,0,8,2,9
33924,0,8,2,9
33970,0,8,2,8
34017,0,7,2,8
34063,0,8,2,9
34110,0,9,2,9
34156,0,9,2,9
34202,0,8,3,9
34249,0,8,3,8
34295,0,8,3,8
34342,0,8,3,9
34388,0,9,2,9
34435,0,9,3,9
34481,0,8,2,8
34528,0,8,2,9
34574,0,9,3,8
34620,0,7,3,7
34667,0,8,3,8
34713,0,7,3,8
34760,0,9,3,8
34806,0,8,2,9
34853,0,9,3,9
34899,0,9,3,8
34946,0,8,2,9
34992,0,10,3,9
35038,0,9,3,8
35085,0,9,2,9
35131,0,9,2,8
35178,0,8,3,9
35224,0,9,3,9
35271,0,9,3,8
35317,0,8,2,8
35363,0,9,3,9
35410,0,9,3,9
