time [ms],led_0,led_1,led_2,led_3
13537,11,0,11,2
13583,10,0,11,2
13630,9,0,11,2
13676,9,1,11,3
13722,10,0,10,2
13769,11,0,10,2
13815,12,0,12,1
13862,12,0,10,3
13908,12,0,11,1
13955,12,0,11,1
14001,11,1,11,2
14048,9,0,10,0
14094,8,0,11,1
14140,10,0,11,2
14187,12,0,10,1
14233,12,0,10,2
14280,13,0,11,2
14326,12,0,11,2
14373,12,0,11,2
14419,11,0,11,2
14466,9,0,10,2
14512,8,0,11,2
14558,10,0,10,2
14605,11,0,10,2
14651,12,0,11,1
14698,12,0,11,1
14744,12,0,12,0
14791,12,0,10,0
14837,11,0,10,0
14883,10,0,10,0
14930,8,0,11,1
14976,9,0,11,1
15023,11,0,12,2
15069,12,0,11,2
15116,12,0,11,2
15162,13,0,12,1
15209,12,0,11,2
15255,12,0,11,3
15301,11,0,11,2
15348,8,0,12,3
15394,8,0,11,1
15441,11,0,11,3
15487,12,0,11,2
15534,12,0,11,0
15580,13,0,12,0
15627,12,0,11,0
15673,12,0,11,1
15719,10,0,10,1
15766,8,0,11,1
15812,7,0,11,2
15859,9,0,10,3
15905,10,0,11,2
15952,10,0,11,4
15998,10,0,11,2
16044,10,0,10,1
16091,9,0,12,0
16137,8,0,11,1
16184,8,0,12,2
16230,8,0,10,3
16277,8,0,11,3
16323,9,0,11,1
16370,9,0,11,1
16416,9,0,10,3
16462,9,0,11,1
16509,9,0,11,2
16555,9,0,11,2
16602,9,0,11,2
16648,9,0,11,1
16695,9,0,11,3
16741,9,0,11,3
16788,9,0,10,2
16834,9,0,10,2
16880,9,0,10,2
16927,9,0,11,1
16973,9,0,11,3
17020,9,0,10,4
17066,9,0,10,4
17113,9,0,11,2
17159,9,0,10,3
17205,9,0,10,2
17252,10,4,11,3
17298,12,0,11,3
17345,12,0,11,2
17391,10,0,10,3
17438,12,0,10,2
17484,11,0,10,3
17531,11,0,11,2
17577,13,0,11,1
17623,11,0,10,2
17670,12,0,12,2
17716,13,0,11,2
17763,10,0,10,2
17809,12,0,10,2
17856,13,0,11,2
17902,10,0,11,2
17949,12,0,11,3
17995,13,0,11,2
18041,9,0,11,1
18088,12,0,10,2
18134,12,0,11,2
18181,10,0,12,1
18227,12,0,10,0
18274,12,0,10,1
18320,11,1,11,1
18366,11,0,11,1
18413,11,0,12,2
18459,11,0,10,1
18506,11,0,11,1
18552,11,0,11,1
18599,11,0,10,0
18645,11,0,11,0
18692,11,0,12,1
18738,11,0,11,1
18784,11,0,11,2
18831,11,0,11,2
18877,11,0,11,2
18924,11,0,11,1
18970,11,0,11,1
19017,11,0,11,1
19063,11,0,11,1
19110,11,0,10,2
19156,11,0,12,2
19202,11,0,11,2
19249,11,0,11,2
19295,11,0,10,3
19342,11,0,11,3
19388,11,0,11,2
19435,11,0,10,2
19481,11,0,11,2
19527,11,0,11,3
19574,11,0,11,2
19620,11,0,10,2
19667,11,0,10,2
19713,11,0,11,3
19760,11,0,11,1
19806,11,0,11,2
19853,11,0,11,2
19899,11,0,10,0
19945,11,0,10,1
19992,11,0,11,1
20038,11,0,10,1
20085,11,0,11,1
20131,11,0,11,1
20178,11,0,11,1
20224,11,0,11,1
20271,11,0,11,1
20317,11,0,11,1
20363,11,0,11,1
20410,11,0,11,1
20456,11,0,12,1
20503,11,0,11,2
20549,11,0,10,2
20596,11,0,12,0
20642,11,0,11,2
20688,11,0,11,3
20735,11,0,10,3
20781,11,0,11,4
20828,11,0,10,2
20874,11,0,11,2
20921,11,0,11,2
20967,11,0,11,3
21014,11,0,10,3
21060,11,0,11,3
21106,11,0,11,3
21153,11,0,11,2
21199,11,0,10,2
21246,11,0,11,3
21292,11,0,11,3
21339,11,0,11,3
21385,11,0,11,3
21432,11,0,11,3
21478,11,0,10,2
21524,11,0,11,4
21571,11,0,11,3
21617,11,0,11,2
21664,11,0,11,3
21710,11,0,11,3
21757,11,0,11,1
21803,11,0,11,1
21849,11,0,12,1
21896,11,0,11,2
21942,11,0,11,2
21989,11,0,11,2
22035,12,0,11,2
22082,12,0,10,2
22128,12,0,11,2
22175,12,0,10,2
22221,11,0,11,1
22267,12,0,12,3
22314,12,0,10,3
22360,11,0,10,2
22407,11,0,11,3
22453,11,0,11,2
22500,11,0,11,3
22546,11,0,10,2
22593,11,0,10,2
22639,11,0,10,2
22685,11,0,11,1
22732,11,0,11,3
22778,11,0,11,4
22825,11,0,10,4
22871,11,0,11,2
22918,11,0,11,2
22964,11,0,10,3
23010,11,0,10,2
23057,11,0,11,3
23103,11,0,12,2
23150,11,0,12,4
23196,12,0,11,3
23243,11,0,10,2
23289,11,0,10,3
23336,11,0,10,4
23382,11,0,10,3
23428,11,0,11,3
23475,11,0,10,2
23521,11,0,10,2
23568,11,0,10,1
23614,11,0,11,2
23661,11,0,11,3
23707,11,0,11,1
23754,11,0,11,3
23800,11,0,11,3
23846,11,0,10,3
23893,11,0,10,2
23939,11,0,11,3
23986,11,0,10,3
24032,11,0,10,3
24079,11,0,10,3
24125,11,0,10,3
24171,11,0,10,3
24218,11,0,11,5
24264,11,0,10,2
24311,11,0,10,3
24357,11,0,10,3
24404,11,0,10,2
24450,11,0,11,3
24497,11,0,10,3
24543,11,0,10,2
24589,11,0,10,3
24636,11,0,10,3
24682,11,0,10,2
