time [ms],led_0,led_1,led_2,led_3
13537,4,8,7,8
13583,9,13,8,9
13630,8,11,7,8
13676,5,11,7,8
13722,9,12,7,8
13769,7,11,7,8
13815,7,10,6,8
13862,8,12,7,8
13908,5,11,7,8
13955,7,11,6,8
14001,8,11,6,8
14048,4,8,7,7
14094,8,12,6,8
14140,8,10,6,8
14187,5,11,5,8
14233,9,11,6,8
14280,7,11,6,8
14326,5,10,6,8
14373,8,12,6,8
14419,5,9,6,7
14466,6,10,6,8
14512,8,12,6,8
14558,5,8,6,8
14605,7,12,6,8
14651,8,11,6,8
14698,4,8,6,7
14744,8,11,6,8
14791,7,11,6,8
14837,4,7,6,7
14883,7,10,7,8
14930,6,10,6,8
14976,5,8,6,7
15023,8,11,6,8
15069,5,8,6,7
15116,6,9,6,7
15162,8,10,5,8
15209,4,8,5,6
15255,7,10,6,8
15301,6,9,7,7
15348,2,6,6,7
15394,7,10,6,8
15441,6,8,6,7
15487,3,8,6,7
15534,8,9,6,7
15580,6,8,7,7
15627,5,9,6,7
15673,7,10,6,8
15719,2,6,5,5
15766,6,8,6,7
15812,7,10,6,8
15859,4,5,6,6
15905,6,9,6,7
15952,6,8,6,7
15998,3,5,5,5
16044,7,10,5,7
16091,5,8,6,7
16137,3,7,6,7
16184,7,9,6,7
16230,5,8,6,7
16277,6,8,6,7
16323,6,9,6,7
16370,3,5,5,5
16416,5,8,6,6
16462,6,9,5,7
16509,4,7,5,6
16555,6,7,6,6
16602,5,7,6,6
16648,2,6,5,5
16695,6,9,6,7
16741,4,7,5,5
16788,4,6,6,6
16834,6,8,6,7
16880,5,5,6,5
16927,4,8,6,6
16973,7,12,9,8
17020,9,12,9,8
17066,10,14,10,9
17113,10,12,8,9
17159,10,12,9,9
17205,10,13,9,9
17252,9,11,9,8
17298,9,13,8,9
17345,8,12,8,9
17391,7,12,7,8
17438,9,12,7,9
17484,9,12,7,9
17531,8,12,7,8
17577,9,12,8,8
17623,9,12,8,9
17670,9,11,8,8
17716,9,12,7,8
17763,8,11,6,8
17809,8,11,7,8
17856,9,12,6,8
17902,7,10,7,8
17949,8,11,7,8
17995,8,11,6,8
18041,6,11,10,9
18088,10,13,9,9
18134,9,12,9,9
18181,6,11,9,8
18227,10,13,9,9
18274,8,11,9,9
18320,7,12,10,9
18366,9,12,9,9
18413,7,11,8,8
18459,6,10,8,8
