time [ms],led_0,led_1,led_2,led_3
13537,9,10,10,2
13583,11,10,11,10
13630,12,10,10,4
13676,9,9,10,5
13722,10,10,10,5
13769,10,10,10,4
13815,12,11,10,3
13862,10,12,10,4
13908,10,12,9,7
13955,10,12,9,3
14001,9,12,10,4
14048,9,11,9,4
14094,9,12,10,3
14140,9,12,10,3
14187,6,9,10,4
14233,9,11,9,4
14280,9,11,9,5
14326,9,11,9,3
14373,9,11,9,3
14419,8,11,9,4
14466,9,11,8,2
14512,8,11,9,4
14558,7,10,11,5
14605,9,11,8,5
14651,9,11,8,4
14698,9,11,8,5
14744,9,11,8,3
14791,11,12,7,7
14837,9,13,9,8
14883,10,13,7,7
14930,11,12,8,8
14976,12,11,9,5
15023,10,11,9,5
15069,9,12,13,4
15116,9,11,7,3
15162,9,12,7,4
15209,11,10,6,3
15255,11,11,6,3
15301,10,10,6,5
15348,8,10,8,4
15394,9,10,7,5
15441,9,11,6,5
15487,9,11,6,3
15534,9,12,6,5
15580,10,11,5,3
15627,10,11,6,6
15673,10,11,5,4
15719,8,11,6,3
15766,8,11,6,3
15812,7,11,7,4
15859,8,11,5,3
15905,8,11,5,2
15952,7,12,12,14
15998,7,11,9,12
16044,14,14,12,10
16091,10,12,11,9
16137,9,12,10,7
16184,7,12,8,7
16230,7,12,7,6
16277,8,12,7,6
16323,7,12,9,7
16370,8,12,6,5
16416,9,12,6,5
16462,6,12,5,4
16509,6,12,5,4
16555,7,10,5,6
16602,10,9,6,5
16648,7,9,5,6
16695,9,9,5,3
16741,7,10,4,3
16788,7,10,5,5
16834,7,10,4,3
16880,7,10,7,3
16927,6,10,5,3
16973,7,10,7,4
17020,7,11,8,5
17066,8,11,10,6
17113,7,12,13,8
17159,7,11,8,5
17205,7,11,5,7
17252,6,10,5,5
17298,7,11,10,6
17345,7,11,10,3
17391,8,10,9,4
17438,7,8,10,5
17484,8,10,11,3
17531,11,10,11,8
17577,7,9,12,4
17623,11,11,12,4
17670,11,10,13,6
17716,10,13,12,6
17763,10,11,12,5
17809,11,14,13,8
17856,11,11,13,8
17902,11,12,13,8
17949,10,9,12,5
17995,11,10,11,3
18041,11,11,11,3
18088,11,11,11,2
18134,11,12,11,3
18181,11,12,11,3
18227,10,12,11,3
18274,11,9,12,6
18320,10,11,12,2
18366,10,11,12,3
18413,10,12,11,4
18459,10,9,11,2
18506,10,12,11,4
18552,10,12,10,2
18599,10,14,11,10
18645,9,12,11,9
18692,11,12,10,7
18738,11,11,12,6
18784,11,11,11,6
18831,10,10,9,5
18877,11,11,12,9
18924,11,11,10,6
18970,8,10,13,12
19017,10,12,12,8
19063,8,14,13,10
19110,9,14,11,9
19156,8,11,10,10
19202,8,12,8,9
19249,8,13,7,9
19295,8,11,7,8
19342,9,9,7,9
19388,10,10,8,10
19435,9,11,8,11
19481,8,10,8,12
19527,6,9,9,12
19574,7,9,9,11
19620,8,11,8,10
19667,7,10,9,9
19713,8,12,8,6
19760,8,11,7,4
19806,5,10,6,5
19853,7,9,6,2
19899,7,11,6,3
19945,7,11,6,2
19992,8,11,7,6
20038,8,11,8,5
20085,8,11,8,8
20131,9,12,10,10
20178,13,12,8,11
20224,9,12,10,13
20271,7,10,10,13
20317,7,11,7,8
20363,8,14,9,8
20410,7,11,10,10
20456,5,13,10,9
20503,8,13,9,8
20549,8,13,8,7
20596,8,12,7,8
20642,7,12,5,8
20688,7,11,7,6
20735,6,10,7,8
20781,9,8,7,8
20828,6,10,6,8
20874,8,9,7,7
20921,5,8,7,6
20967,7,11,6,2
21014,6,10,6,4
21060,6,11,6,2
21106,7,11,8,4
21153,6,11,7,3
21199,6,9,6,3
21246,6,10,12,10
21292,2,11,11,9
21339,3,11,8,6
21385,0,10,7,8
21432,0,8,5,3
21478,0,10,5,4
21524,1,10,6,5
21571,0,8,3,3
21617,0,7,3,1
21664,0,8,4,3
21710,1,6,4,2
21757,12,11,8,6
21803,11,12,12,3
21849,10,12,12,5
21896,11,12,11,3
21942,10,12,11,5
21989,10,12,11,1
22035,10,12,11,4
22082,10,11,10,3
22128,10,11,11,4
22175,10,11,10,2
22221,10,10,10,1
22267,10,10,10,3
22314,10,9,10,5
22360,10,10,10,5
22407,10,10,10,4
22453,7,9,10,4
22500,10,14,11,6
22546,11,13,12,7
22593,11,13,11,8
22639,10,13,11,7
22685,10,13,10,8
22732,8,10,9,8
22778,9,13,9,7
22825,9,12,9,6
22871,9,12,10,7
22918,10,12,9,7
22964,8,12,10,9
23010,9,11,10,9
23057,8,11,10,9
23103,9,11,10,9
23150,9,10,10,10
23196,9,11,9,8
23243,9,12,10,8
23289,9,11,11,11
23336,8,12,8,5
23382,9,12,9,6
23428,9,13,8,5
23475,11,10,7,7
23521,12,15,8,4
23568,15,13,7,2
23614,11,13,12,8
23661,9,11,13,3
23707,11,10,7,2
23754,10,12,6,2
23800,11,10,6,2
23846,12,10,6,3
23893,10,10,8,5
23939,6,10,8,10
23986,7,10,9,11
24032,9,11,9,11
24079,9,11,8,8
24125,9,12,6,5
24171,9,14,10,5
24218,9,12,10,6
24264,8,11,9,6
24311,10,12,8,6
24357,11,11,8,5
24404,10,11,6,4
24450,9,12,5,3
24497,10,12,10,10
24543,11,12,9,8
24589,9,13,13,8
24636,5,14,15,8
24682,7,13,10,8
24729,7,13,10,8
24775,8,13,13,9
24822,6,12,7,6
24868,7,9,7,8
24915,13,11,8,11
24961,13,13,7,10
25007,12,12,6,11
25054,10,11,6,11
25100,12,11,5,11
25147,9,10,8,3
25193,9,9,6,2
25240,8,9,4,2
25286,11,11,8,12
25332,12,10,4,9
25379,10,10,5,5
25425,7,10,6,5
25472,10,12,11,9
25518,10,11,4,3
25565,7,9,5,3
25611,12,11,4,2
25658,13,7,6,2
25704,13,13,10,3
25750,11,11,4,2
25797,8,10,4,4
25843,9,9,3,4
25890,7,10,4,3
25936,3,8,9,7
25983,6,10,10,5
26029,7,10,9,3
26075,8,10,9,4
26122,8,10,11,4
26168,8,10,11,5
26215,10,14,14,5
26261,9,11,12,5
26308,11,11,12,3
26354,10,11,12,6
26401,10,12,12,5
26447,11,12,12,2
26493,11,13,11,5
26540,11,11,11,3
26586,10,12,11,3
26633,11,9,11,2
26679,11,10,11,2
26726,9,12,12,3
26772,9,10,11,2
26819,11,12,11,4
26865,11,12,11,5
26911,10,12,11,12
26958,11,11,11,13
27004,10,11,12,8
27051,10,14,11,8
27097,10,12,11,8
27144,9,11,14,7
27190,10,11,10,4
27236,10,14,13,3
27283,9,12,10,10
27329,10,12,11,15
27376,9,12,15,9
27422,9,14,11,9
27469,12,12,10,7
27515,7,11,9,7
27562,10,11,9,7
27608,9,11,8,6
27654,7,10,9,7
27701,8,10,9,3
27747,8,11,8,5
27794,8,13,10,3
27840,7,11,7,3
27887,8,11,6,3
27933,8,12,7,2
27980,8,11,6,2
28026,7,10,7,5
28072,7,10,6,2
28119,7,11,6,7
28165,7,11,7,3
28212,6,11,10,5
28258,11,14,13,3
28305,10,15,6,3
28351,7,12,7,3
28397,7,12,14,3
28444,7,10,8,2
28490,7,11,7,3
28537,7,9,6,2
28583,8,10,6,3
28630,8,10,4,3
28676,7,12,8,4
28723,12,13,10,3
28769,4,10,6,6
28815,7,9,6,3
28862,7,12,6,6
28908,7,11,5,3
28955,7,12,8,4
29001,7,10,5,5
29048,7,11,4,3
29094,7,11,5,7
29141,8,11,8,5
29187,7,11,12,3
29233,5,8,10,5
29280,9,15,9,5
29326,6,12,7,7
29373,9,9,9,7
29419,5,9,7,8
29466,7,10,12,7
29512,8,13,9,6
29558,9,11,9,5
29605,9,13,9,7
29651,9,13,8,5
29698,7,11,7,6
29744,11,13,9,4
29791,6,12,6,4
29837,7,11,16,7
29884,10,11,6,8
29930,10,12,8,8
29976,11,11,6,8
30023,9,11,5,9
30069,4,11,7,9
30116,9,10,6,10
30162,4,9,6,4
30209,0,9,4,6
30255,10,10,6,3
30302,5,12,12,3
30348,3,14,14,11
30394,5,12,7,11
30441,11,10,10,12
30487,10,12,12,14
30534,7,10,12,13
30580,10,12,11,4
30627,10,12,11,5
30673,11,12,11,4
30719,10,13,11,7
30766,11,13,11,8
30812,10,13,12,8
30859,8,11,10,7
30905,10,13,10,7
30952,9,12,10,3
30998,9,12,10,7
31045,9,12,10,4
31091,11,12,10,4
31137,8,11,11,3
31184,11,12,10,6
31230,14,12,9,12
31277,9,12,9,12
31323,10,12,9,10
31370,9,12,9,6
31416,8,12,10,6
31463,11,12,10,2
31509,10,12,10,2
31555,10,11,10,1
31602,8,12,9,1
31648,9,11,8,6
31695,9,12,8,1
31741,9,11,8,3
31788,7,11,9,4
31834,9,11,8,1
31880,9,11,13,11
31927,9,11,8,1
31973,9,12,8,7
32020,9,11,8,4
32066,9,12,8,3
32113,9,11,10,7
32159,9,11,7,7
32206,9,11,9,6
32252,8,11,7,4
32298,9,10,8,7
32345,11,14,11,5
32391,8,11,9,10
32438,9,10,7,11
32484,9,11,7,11
32531,9,10,7,6
32577,10,12,7,7
32624,9,12,7,6
32670,10,12,8,6
32716,8,11,9,5
32763,8,12,7,3
32809,8,11,7,2
32856,8,11,6,6
32902,9,11,6,13
32949,9,11,8,12
32995,9,10,8,7
33041,10,13,8,7
33088,11,12,8,6
33134,9,12,14,5
33181,10,12,6,5
33227,8,11,8,6
33274,8,14,11,6
33320,7,14,9,9
33367,6,13,7,7
33413,7,11,8,8
33459,6,11,8,9
33506,7,11,7,8
33552,6,10,9,9
33599,7,11,8,6
33645,8,11,10,11
33692,10,12,10,10
33738,7,13,11,9
33785,7,13,13,7
33831,7,11,5,3
33877,7,11,7,7
33924,7,12,6,4
33970,7,12,5,5
34017,9,12,4,3
34063,7,11,6,3
34110,7,10,5,4
34156,7,10,5,6
34202,9,10,5,2
34249,7,10,7,4
34295,11,12,11,3
34342,6,8,7,4
34388,7,11,11,8
34435,7,12,9,7
34481,8,11,9,6
34528,7,11,6,7
34574,7,10,5,3
34620,6,10,8,4
34667,6,11,10,3
34713,7,11,10,6
34760,7,10,10,4
34806,6,11,12,3
34853,7,12,11,7
34899,9,10,11,4
34946,11,11,13,7
34992,11,11,13,4
35038,10,11,13,6
35085,10,11,12,4
35131,10,12,13,5
35178,10,11,13,10
35224,11,12,14,8
35271,10,12,12,7
35317,10,9,11,3
35363,9,15,13,3
35410,10,10,11,2
35456,7,11,12,3
35503,11,10,11,3
35549,11,12,11,4
35596,10,12,11,2
35642,10,13,12,3
35689,10,11,12,4
35735,10,11,11,3
35781,10,12,11,3
35828,7,10,11,5
35874,10,12,10,3
35921,5,10,11,4
35967,9,11,10,4
36014,10,12,9,3
36060,10,12,10,7
36107,9,11,10,4
36153,9,12,10,4
36199,9,9,12,8
36246,9,12,11,7
36292,9,14,11,10
36339,7,11,12,13
36385,9,11,13,14
36432,5,9,8,13
36478,8,12,13,9
36524,7,10,7,8
36571,7,12,9,8
36617,8,10,8,9
36664,7,13,7,9
36710,7,12,9,9
36757,8,12,9,6
36803,8,12,8,7
36850,4,11,9,15
36896,6,11,9,13
36942,6,11,8,12
36989,7,13,8,10
37035,6,13,7,9
37082,7,11,7,6
37128,9,11,8,5
37175,8,14,7,3
37221,8,14,8,5
37268,9,12,7,7
37314,8,13,7,7
37360,9,13,7,7
37407,8,13,6,6
37453,9,11,7,6
37500,10,10,7,4
37546,9,11,5,5
37593,7,11,9,6
37639,10,11,4,4
37685,11,13,12,7
37732,6,10,5,3
37778,8,10,7,7
37825,8,12,6,9
37871,9,11,6,10
37918,6,7,6,10
37964,7,10,8,9
38011,7,9,7,5
38057,7,9,5,5
38103,7,10,5,5
38150,10,9,4,5
38196,11,11,7,3
38243,10,9,7,3
38289,7,12,6,3
38336,8,11,9,5
38382,14,11,11,7
38429,8,11,7,4
38475,10,12,7,4
38521,9,11,6,6
38568,7,12,9,6
38614,7,11,9,6
38661,4,11,11,11
38707,6,11,7,5
38754,4,11,8,8
38800,7,11,7,4
38846,6,11,6,4
38893,3,10,6,2
38939,6,9,4,3
38986,3,9,9,5
39032,3,14,13,6
39079,8,13,12,5
39125,10,13,13,5
39172,10,13,12,4
39218,9,14,12,5
39264,10,13,12,3
39311,10,10,11,5
39357,10,12,11,3
39404,10,12,10,3
39450,10,11,10,4
39497,10,11,10,3
39543,10,11,10,3
39590,10,10,10,6
39636,10,10,10,2
39682,10,10,10,7
39729,10,10,10,2
39775,10,11,10,5
39822,10,11,10,2
39868,10,12,10,3
39915,10,12,9,3
39961,10,13,9,3
40007,10,12,10,2
40054,9,12,10,3
40100,9,12,10,3
40147,9,13,10,3
40193,9,12,9,3
40240,9,12,10,2
40286,9,12,9,3
40333,9,12,9,7
40379,9,11,9,2
40425,9,14,10,6
40472,9,12,9,6
40518,9,13,8,6
40565,9,12,9,4
40611,10,11,8,5
40658,9,11,8,8
40704,9,11,8,6
40751,9,11,8,4
40797,9,10,7,4
40843,9,11,8,6
40890,8,12,8,7
40936,10,13,8,8
40983,10,12,7,9
41029,11,11,7,7
41076,11,11,8,5
41122,7,11,9,3
41168,10,11,9,4
41215,10,11,6,2
41261,9,11,7,3
41308,9,11,7,2
41354,9,11,8,3
41401,8,11,8,4
41447,8,11,8,3
41494,8,11,7,3
41540,8,10,6,4
41586,9,11,7,3
41633,7,13,14,6
41679,8,11,7,3
41726,9,11,9,3
41772,9,12,7,3
41819,7,12,7,3
41865,8,12,6,3
41912,8,11,5,4
41958,8,11,5,3
42004,7,10,5,3
42051,4,9,6,4
42097,8,11,7,5
42144,9,12,9,4
42190,8,12,5,6
42237,8,12,9,11
42283,7,12,9,11
42329,7,11,9,10
42376,7,14,10,9
42422,7,12,10,10
42469,7,11,9,10
42515,7,12,7,8
42562,7,12,4,6
42608,7,12,4,4
42655,7,13,6,7
42701,7,12,6,7
42747,8,12,7,5
42794,8,11,6,5
42840,7,9,5,12
42887,6,10,5,14
42933,7,10,5,15
42980,7,10,6,15
43026,5,10,7,14
43073,7,10,4,6
43119,7,11,5,6
43165,7,10,4,4
43212,7,10,6,7
43258,7,11,5,3
43305,7,11,9,4
43351,7,11,10,4
43398,7,11,9,3
43444,7,10,9,4
43490,8,10,12,4
43537,8,10,11,9
43583,10,12,12,9
43630,11,12,13,12
43676,10,11,13,13
43723,11,13,13,13
43769,10,12,12,9
43816,9,13,12,9
43862,10,12,11,7
43908,11,13,11,3
43955,10,10,11,2
44001,10,9,11,7
44048,11,10,12,9
44094,11,10,11,9
44141,10,13,12,10
44187,11,12,12,10
44234,11,14,11,8
44280,10,12,11,9
44326,10,13,12,11
44373,10,12,12,11
44419,10,11,11,10
44466,10,11,11,6
44512,9,13,11,7
44559,10,11,11,6
44605,9,11,11,7
44651,9,11,10,6
44698,9,12,10,6
44744,9,10,9,5
44791,8,12,9,3
44837,9,12,9,3
44884,9,10,9,5
44930,8,11,9,13
44977,8,11,8,9
45023,9,12,8,7
45069,8,13,8,7
45116,9,11,9,8
45162,9,12,8,7
45209,10,11,7,7
45255,8,12,7,7
45302,8,11,7,5
45348,9,10,7,5
45395,8,13,6,4
45441,8,12,7,4
45487,9,10,6,4
45534,7,11,7,4
45580,8,11,7,6
45627,8,11,9,8
45673,8,12,8,6
45720,8,10,7,7
45766,8,10,6,3
45812,7,10,7,5
45859,8,11,6,3
45905,7,11,6,3
45952,7,12,6,3
45998,8,10,6,3
46045,7,11,5,5
46091,7,11,6,6
46138,8,12,6,5
46184,7,11,7,4
46230,8,12,4,4
46277,7,9,4,3
46323,7,12,5,5
46370,7,10,5,3
46416,7,11,3,7
46463,7,8,4,4
46509,8,11,7,6
46555,7,9,6,4
46602,7,10,6,7
46648,7,9,6,5
46695,7,8,6,3
46741,7,10,6,9
46788,8,10,6,3
46834,7,9,6,3
46881,7,10,5,3
46927,7,10,6,3
46973,8,10,6,3
47020,6,11,8,3
47066,7,12,6,3
47113,6,11,6,5
47159,6,11,5,3
47206,7,11,5,5
47252,2,11,5,4
47299,0,10,6,3
47345,1,12,9,8
47391,0,11,9,9
47438,1,11,8,5
47484,4,13,9,5
47531,0,13,9,5
47577,0,13,8,4
47624,2,13,9,5
47670,6,14,9,5
47716,7,13,8,7
47763,10,14,8,7
47809,11,13,12,7
47856,11,13,11,6
47902,10,12,11,6
47949,10,11,11,4
47995,11,11,11,5
48042,10,13,10,5
48088,9,13,10,5
48134,9,12,10,5
48181,10,9,10,4
48227,10,11,10,3
48274,10,10,9,3
48320,10,10,10,3
48367,10,9,10,5
48413,10,10,10,4
48460,10,11,10,4
48506,10,11,10,4
48552,10,12,10,5
